,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
5,Carlos Alberto,2021-09-13,"Málaga, Spain",within an hour,100%,100%,t,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$104.00,t,t,52295523,422798059,3.0,3.0,36.72423,-4.41858,2.0,1.0,1.0,1.0,60,1125,1.0,1125.0,6,10,31,33,22.5,9.1,4.89,4.93,4.97,4.97,4.96,4.85,4.74,2.0,4.44
6,Rodo,2022-02-24,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$80.00,t,f,1105849600091052946,446668777,1.0,1.0,36.72398523806071,-4.420344155986767,2.0,1.0,2.0,1.0,1125,1125,1.0,1125.0,11,25,52,53,18.0,18.0,4.83,4.94,4.94,4.61,4.83,4.83,4.83,1.0,1.3
7,Lu&Cia,2017-04-18,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$121.00,t,t,31748629,126386697,44.0,51.0,36.71419,-4.42382,2.0,1.0,1.0,1.0,365,999,4.7,999.0,14,36,50,265,26.0,6.0,4.62,4.81,4.46,4.81,4.92,4.85,4.65,43.0,0.39
8,Gestitur,2021-05-04,"Málaga, Spain",within an hour,100%,99%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$110.00,t,t,1151936773590880075,399961266,62.0,74.0,36.7141272,-4.4289716,4.0,1.0,2.0,2.0,365,365,2.4,365.0,9,39,69,249,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,17.0,1.73
9,Maria,2021-10-19,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$140.00,t,t,701861352072019656,428065882,7.0,8.0,36.7208,-4.4209,2.0,1.0,1.0,1.0,365,365,1.0,365.0,0,0,0,123,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,0.16
10,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire condo,Entire home/apt,$130.00,t,t,51874830,382146507,72.0,72.0,36.71287,-4.43704,4.0,1.0,2.0,2.0,1125,1125,2.3,1125.0,2,7,31,292,12.0,5.0,5.0,5.0,5.0,4.83,4.92,4.58,4.92,63.0,0.35
11,Santi,2016-06-25,"Andalusia, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in bed and breakfast,Private room,$147.00,t,t,1184612577583664481,79877163,2.0,2.0,36.7238422,-4.4295379,5.0,2.0,4.0,1.0,365,365,1.0,365.0,11,41,71,251,0.0,0.0,5.0,5.0,5.0,4.83,4.92,4.58,4.92,2.0,0.35
12,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$321.00,t,f,1107837608951574164,329266025,52.0,79.0,36.72560036686984,-4.418858700022535,9.0,1.5,6.0,1.0,365,365,1.0,365.0,30,60,90,270,0.0,0.0,5.0,5.0,5.0,4.83,4.92,4.58,4.92,49.0,0.35
13,Alberto,2017-07-06,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$113.00,t,t,52250461,138864019,29.0,30.0,36.72282,-4.4,4.0,1.0,1.0,2.0,365,1125,2.0,1125.0,6,8,36,277,80.0,33.0,4.59,4.64,4.69,4.83,4.79,4.88,4.55,29.0,2.41
14,La Casa De La Alameda,2015-08-05,"Andalusia, Spain",within a day,100%,100%,t,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$211.00,t,t,715758596280577318,40571478,13.0,15.0,36.7173144,-4.4251622,4.0,2.0,3.0,1.0,365,365,1.0,365.0,0,0,0,1,4.0,3.0,5.0,4.75,4.75,5.0,4.8,5.0,4.25,10.0,0.31
15,Blanca,2019-06-19,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$211.00,t,f,53610384,269784222,3.0,5.0,36.7,-4.4,2.0,2.0,3.0,2.0,365,1125,2.6,1125.0,0,0,0,0,48.0,9.0,4.83,4.85,4.69,4.92,4.96,4.67,4.73,3.0,1.59
16,Sami Idriss,2015-04-21,"Málaga, Spain",within a day,73%,6%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Private room in condo,Private room,$20.00,t,f,46730603,31649041,10.0,16.0,36.723,-4.44487,1.0,1.0,1.0,2.0,1125,1125,2.6,1125.0,0,29,59,334,2.0,0.0,4.5,4.8,4.8,4.5,5.0,4.8,4.0,10.0,0.05
17,Elsa,2015-05-19,"Málaga, Spain",within a day,73%,6%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$160.00,t,f,1173922046754917329,33721800,1.0,2.0,36.72223109999999,-4.4,5.0,2.0,6.0,2.0,334,334,2.6,334.0,29,59,89,269,0.0,0.0,4.5,4.8,4.8,4.5,5.0,4.8,4.0,1.0,0.05
18,Juan,2014-01-12,"Málaga, Spain",within a few hours,100%,86%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire rental unit,Entire home/apt,$94.00,t,f,678725895653103548,11224703,1.0,1.0,36.71053,-4.4,3.0,2.0,3.0,3.0,99,99,3.0,99.0,28,50,80,164,6.0,3.0,4.17,4.33,4.17,4.83,4.5,4.5,4.7,1.0,0.28
19,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$101.00,t,t,1036695641247278732,89705945,61.0,86.0,36.729350409231095,-4.411778917389588,6.0,2.0,2.0,2.0,365,444,2.1,370.0,10,40,70,79,23.0,23.0,4.65,4.61,4.61,4.83,4.96,4.7,4.74,60.0,3.37
20,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$307.00,t,t,567197678880468536,2477923,108.0,132.0,36.717407,-4.422022,6.0,2.0,3.0,1.0,1125,1125,2.6,1125.0,8,26,56,323,8.0,2.0,4.88,4.88,4.88,5.0,4.88,5.0,4.75,10.6,0.31
