,host_response_rate,review_scores_cleanliness,price,number_of_reviews,number_of_reviews,review_scores_communication
0,1.0,4.64,310.0,10.0,10.0,4.91
1,1.0,4.79,203.0,10.0,10.0,4.92
2,1.0,5.0,220.0,5.0,5.0,4.8
3,1.0,4.92,201.0,10.0,10.0,4.95
4,1.0,4.74,321.0,10.0,10.0,4.98
5,1.0,4.75,160.0,10.0,10.0,4.92
6,1.0,4.93,169.0,10.0,10.0,4.97
7,0.95,4.72,356.9,10.0,10.0,4.84
8,1.0,4.85,160.0,10.0,10.0,4.93
9,1.0,4.52,350.0,29.0,29.0,4.86
10,1.0,4.3,946.0,30.0,30.0,4.9
11,1.0,4.91,211.0,10.0,10.0,4.96
12,1.0,4.88,592.0,10.0,10.0,4.92
13,1.0,4.67,200.0,10.0,10.0,4.93
14,1.0,4.34,196.0,10.0,10.0,4.82
15,1.0,4.34,414.0,0.0,0.0,4.82
16,1.0,4.77,370.0,10.0,10.0,4.89
17,1.0,4.86,356.9,7.0,7.0,5.0
18,1.0,4.78,181.0,10.0,10.0,4.91
19,1.0,4.59,691.0,10.0,10.0,4.78
20,1.0,4.94,356.9,36.0,36.0,4.92
21,1.0,4.89,121.0,10.0,10.0,4.96
22,0.9,4.86,120.0,10.0,10.0,4.9
23,1.0,4.9,714.0,13.0,13.0,4.9
24,1.0,4.74,226.0,10.0,10.0,4.97
25,1.0,4.67,250.0,3.0,3.0,5.0
26,1.0,4.81,287.0,48.0,48.0,5.0
27,1.0,4.6,514.0,10.0,10.0,4.82
28,1.0,4.96,140.0,10.0,10.0,4.97
29,1.0,4.38,826.0,58.0,58.0,4.85
30,1.0,4.9,236.0,7.0,7.0,5.0
31,1.0,4.88,220.0,10.0,10.0,4.94
32,1.0,4.88,147.0,10.0,10.0,4.97
33,1.0,4.94,221.0,32.0,32.0,5.0
34,1.0,4.82,359.0,10.0,10.0,4.94
35,1.0,4.82,356.9,0.0,0.0,4.94
36,1.0,5.0,61.0,5.0,5.0,5.0
37,1.0,4.95,155.0,10.0,10.0,4.99
38,1.0,4.86,350.0,10.0,10.0,4.94
39,1.0,4.32,872.0,10.0,10.0,4.76
40,1.0,4.47,115.0,10.0,10.0,4.87
41,1.0,4.55,590.0,10.0,10.0,4.93
42,1.0,5.0,60.0,4.0,4.0,5.0
43,1.0,4.83,136.0,46.0,46.0,4.98
44,1.0,4.91,199.0,55.0,55.0,5.0
45,0.9,4.58,320.0,31.0,31.0,4.84
46,1.0,4.69,329.0,10.0,10.0,5.0
47,1.0,4.9,165.0,3.0,3.0,5.0
48,1.0,4.79,259.0,33.0,33.0,4.88
49,0.94,4.42,148.0,43.0,43.0,5.0
50,0.94,4.42,829.0,0.0,0.0,5.0
51,1.0,5.0,408.0,29.0,29.0,5.0
52,1.0,4.76,359.0,36.0,36.0,4.83
53,1.0,4.6,357.0,10.0,10.0,5.0
54,1.0,4.64,197.0,10.0,10.0,4.84
55,1.0,4.49,271.0,43.0,43.0,5.0
56,1.0,4.82,240.0,10.0,10.0,4.73
57,0.98,4.75,217.0,10.0,10.0,4.8
58,1.0,4.93,225.0,10.0,10.0,4.77
