,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
0,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,41-60,Escaso,Escaso,Raro,Raro,Escaso
1,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Raro,Frecuente,Raro,Abundante
2,Mala,Buena,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Escaso,Escaso,Raro,Disponible,Disponible
3,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Poco disponible,Poco disponible,Poco disponible,Poco disponible,Frecuente
4,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,41-60,Raro,Raro,Común,Frecuente,Raro
5,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Comun,Raro,Escaso,Frecuente,Poco disponible
6,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Raro,Raro,Abundante,Abundante,Poco disponible
7,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Disponible,Abundante,Raro,Poco disponible,Poco disponible
8,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,20-40,Comun,Raro,Frecuente,Abundante,Disponible
9,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,61-81,Disponible,Disponible,Abundante,Disponible,Disponible
10,Mala,Mala,Abundante,Abundante,Abundante,Escaso,164-183,Raro,Raro,Común,Escaso,Disponible
11,Mala,Mala,Disponible,Abundante,Poco disponible,Escaso,20-40,Escaso,Frecuente,Poco disponible,Frecuente,Poco disponible
12,Mala,Mala,Escaso,Frecuente,Abundante,Escaso,102-122,Raro,Raro,Común,Poco disponible,Poco disponible
13,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Frecuente,Escaso,Frecuente,Raro,Poco disponible
14,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,20-40,Frecuente,Raro,Común,Escaso,Poco disponible
15,Mala,Mala,Disponible,Abundante,Escaso,Poco disponible,61-81,Disponible,Disponible,Abundante,Disponible,Poco disponible
16,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Poco disponible,Frecuente,Poco disponible
17,Mala,Mala,Raro,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
18,Mala,Mala,Raro,Poco disponible,Poco disponible,Disponible,20-40,Frecuente,Raro,Escaso,Poco disponible,Escaso
