,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable
5,Carlos Alberto,2021-09-13,"Málaga, Spain",within an hour,100%,100%,t,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$104.00,t,t
6,Rodo,2022-02-24,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$80.00,t,f
7,Lu&Cia,2017-04-18,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$121.00,t,t
8,Gestitur,2021-05-04,"Málaga, Spain",within an hour,100%,99%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$110.00,t,t
9,Maria,2021-10-19,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$140.00,t,t
10,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire condo,Entire home/apt,$130.00,t,t
11,Santi,2016-06-25,"Andalusia, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in bed and breakfast,Private room,$147.00,t,t
12,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$321.00,t,f
13,Alberto,2017-07-06,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$113.00,t,t
14,La Casa De La Alameda,2015-08-05,"Andalusia, Spain",within a day,100%,100%,t,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$211.00,t,t
