Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.18309970,0.11873847,0.19942877,0.18263748,0.02319166,0.57922078,0.03409091,0.04301075,0.40178099,0.38499357,0.45851504,0.50487831,0.51975499,0.46066942,0.46786212,0.46027745,0.47802668,0.46357267,0.30865401,0.31638102,0.36472610,0.34745028,0.14343900,0.37532366,0.30985163,0.72815489,0.69817819,0.62900584,-1,1,-1,-1
0.27200817,0.19590398,0.37757416,0.16717527,0.02554234,0.58441558,0.04545455,0.05376344,0.38459256,0.36851422,0.43651145,0.45059917,0.48959771,0.44620199,0.41837459,0.43675376,0.51055831,0.49484457,0.29242396,0.32109507,0.33786633,0.34350155,0.13228127,0.36739859,0.27449570,0.75308004,0.72397082,0.65003117,-1,1,-1,-1
0.27429214,0.25171427,0.34066394,0.18009009,0.02965898,0.58961039,0.04545455,0.06451613,0.38096887,0.35806656,0.41974074,0.40996017,0.47091784,0.42573591,0.38952622,0.40003922,0.53991132,0.53096753,0.27851198,0.31866205,0.31330027,0.33814177,0.12403130,0.34829050,0.25088822,0.74951533,0.76076688,0.68836660,-1,1,-1,-1
0.24340111,0.25470875,0.33782692,0.12649756,0.03417414,0.59480519,0.04545455,0.06451613,0.36679424,0.36104897,0.40287681,0.37576335,0.45028519,0.43150042,0.36931228,0.38289711,0.56251702,0.56355853,0.27132117,0.31306698,0.29210782,0.33992269,0.11888380,0.33402604,0.22998608,0.75397351,0.78909522,0.71201909,-1,1,-1,-1
0.22095133,0.24017055,0.35050476,0.09213671,0.03453218,0.60000000,0.04545455,0.05376344,0.36707358,0.35815711,0.39512753,0.36570772,0.43990926,0.42363274,0.35434819,0.37023856,0.55507492,0.56769847,0.26959967,0.30434234,0.29836579,0.33107166,0.12685577,0.29257450,0.23184466,0.73158109,0.78214720,0.69471983,-1,1,-1,-1
0.21962655,0.20610674,0.34758346,0.09251990,0.03492963,0.60259740,0.04545455,0.06451613,0.36824465,0.35347179,0.38019701,0.33898406,0.41984744,0.41177003,0.32696623,0.34026525,0.55559830,0.56605489,0.28931812,0.30670837,0.31842509,0.34049266,0.14967300,0.27714993,0.23155030,0.71775176,0.78414225,0.69640357,-1,1,-1,-1
0.21760913,0.19546750,0.31311207,0.10130204,0.02961267,0.60519481,0.04545455,0.05376344,0.37456699,0.34946792,0.37732778,0.31754446,0.41121839,0.39033407,0.30773606,0.30959156,0.57515916,0.59235553,0.30347850,0.27923841,0.35153499,0.32305141,0.15495946,0.24782046,0.22525330,0.71784472,0.80820268,0.71321273,-1,1,-1,-1
0.26546754,0.18725345,0.39685598,0.09967489,0.02627694,0.61298701,0.05681818,0.05376344,0.37641334,0.38810655,0.38380975,0.30611607,0.40452787,0.41372899,0.30777419,0.32063375,0.61336851,0.63459085,0.31071072,0.28051283,0.36520210,0.32125756,0.16690192,0.23090159,0.21769475,0.72529022,0.82850523,0.73636949,-1,1,-1,-1
0.28014335,0.19912977,0.41245758,0.11391153,0.02534596,0.62857143,0.09090909,0.06451613,0.38990853,0.39957710,0.39181414,0.29688341,0.39836342,0.39704203,0.29716532,0.31161405,0.65514471,0.67724097,0.33165544,0.27712745,0.40767816,0.31153909,0.18922139,0.20485352,0.25027575,0.70763088,0.83054301,0.75973624,-1,1,-1,-1
0.26092601,0.23384807,0.37414473,0.12227661,0.02136602,0.64675325,0.09090909,0.07526882,0.41957773,0.44441624,0.42806680,0.32212310,0.42501535,0.42596584,0.32309905,0.33720743,0.70025903,0.72615421,0.33148523,0.28850754,0.40489902,0.32180942,0.20339356,0.18751844,0.25422739,0.70763902,0.81862773,0.76425049,-1,1,-1,-1
