Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.03631216,0.05236208,0.08357966,0.03429726,0.00243686,0.55324074,0.03289474,0.02068966,0.49893737,0.35646838,0.49382613,0.44787382,0.57357385,0.37134134,0.46709092,0.46122580,0.53383781,0.53749445,0.50760557,0.30660517,0.52569426,0.26716972,0.39479051,0.66148334,0.48974477,0.70495980,0.45049423,0.42998569,-1,-1,-1,-1
0.03586374,0.04067493,0.07209521,0.04340122,0.00265247,0.55324074,0.03947368,0.02068966,0.44347843,0.33747774,0.45048001,0.39099572,0.52391220,0.35807307,0.41168574,0.43204902,0.51026152,0.53105038,0.46573506,0.30001518,0.48060243,0.28168322,0.38813164,0.61026390,0.51480819,0.66447818,0.47037993,0.42261277,-1,-1,-1,-1
0.02817842,0.02910542,0.00759574,0.06200875,0.00743622,0.55092593,0.04605263,0.01379310,0.41479147,0.31073107,0.40998326,0.35514167,0.50058081,0.32873537,0.37775140,0.41191186,0.47787209,0.49649606,0.45666660,0.30938252,0.47439038,0.30287613,0.41545887,0.55423040,0.54034052,0.65384811,0.44603438,0.38614714,-1,-1,-1,-1
0.04338628,0.03050942,0.04467120,0.07125655,0.01084867,0.55092593,0.04605263,0.00689655,0.39074587,0.31428415,0.42472103,0.37778305,0.47138233,0.33997218,0.40937184,0.42000255,0.46723796,0.49113721,0.47070594,0.30487614,0.48247146,0.30578842,0.42221171,0.55674574,0.59618917,0.59912288,0.43720205,0.36828637,-1,-1,-1,-1
0.06879216,0.03053246,0.10078625,0.08581022,0.01380019,0.55324074,0.04605263,0.00689655,0.40439987,0.32263926,0.43530829,0.39302487,0.46787136,0.34058715,0.41944800,0.44234148,0.46186981,0.49900332,0.48874580,0.32595472,0.52023549,0.32526935,0.45004309,0.57452771,0.64356022,0.53461209,0.45858112,0.36831045,-1,-1,-1,-1
0.07710775,0.03394430,0.07459378,0.11432321,0.01404580,0.55555556,0.03947368,0.00689655,0.45000103,0.33845034,0.46346088,0.42875079,0.48859435,0.34340493,0.45372340,0.46217173,0.47577461,0.51785107,0.48011482,0.31335048,0.52197933,0.32408806,0.44668924,0.55405920,0.67097281,0.45594564,0.47997218,0.35262227,-1,-1,-1,-1
0.10033305,0.04119398,0.06989074,0.15329361,0.01595138,0.55555556,0.03289474,0.00689655,0.52902044,0.40275447,0.54267177,0.50985963,0.54803471,0.39576616,0.51957294,0.51131679,0.50765995,0.55428368,0.52825038,0.31811137,0.58960162,0.32336852,0.48622650,0.54642008,0.74727405,0.39528982,0.54064604,0.40902996,-1,-1,-1,-1
0.12008399,0.04333772,0.11473806,0.16430745,0.01627730,0.55787037,0.02631579,0.00689655,0.54156467,0.37759137,0.56062963,0.54333560,0.56158153,0.36825595,0.53913604,0.50586406,0.50977385,0.56016921,0.56143477,0.32388241,0.62513754,0.31571817,0.50447898,0.55062488,0.78022952,0.36534295,0.57920422,0.45110568,-1,-1,-1,-1
0.16536624,0.05849730,0.11594524,0.22946313,0.02119017,0.55555556,0.02631579,0.01379310,0.53488972,0.38513053,0.57245683,0.56053306,0.54697370,0.36510799,0.52551258,0.51096346,0.52779804,0.58122097,0.61256569,0.30970924,0.66946473,0.30213405,0.51895440,0.56187734,0.83064496,0.35508310,0.60459695,0.49015228,-1,-1,-1,-1
0.18180965,0.06964138,0.13529090,0.24978086,0.02298516,0.55787037,0.02631579,0.01379310,0.57210895,0.38741101,0.59908581,0.60372475,0.57875582,0.36879693,0.55456697,0.54358017,0.52611151,0.59536231,0.63501699,0.30539505,0.69700326,0.29006014,0.52534078,0.56637489,0.86503089,0.36398225,0.59750926,0.50649607,-1,-1,-1,-1
